customer_id,customer_name,city,address,points,membership_type
1,Joshua Peterson,Aqaba,1480 Lee Forges Suite 826,1378,Silver
2,Diana Miller,Mafraq,0234 Becker Locks,1546,Bronze
3,Stephanie Lowery,Jerash,919 Angela Locks Suite 496,1382,Gold
4,Alexis Schaefer,Zarqa,9417 Gonzalez Falls Suite 067,4012,Bronze
5,Andrea Howard,Mafraq,775 Frederick Wells Suite 851,1899,Platinum
6,Mark Brandt,Irbid,86655 Hodge Lodge,3849,Silver
7,Steven Conley,Irbid,4556 Martin River Apt. 683,482,Silver
8,Mark Jones,Mafraq,99910 Ray Lock Apt. 327,3942,Gold
9,Tiffany Smith,Karak,947 Omar Fall,778,Platinum
10,Kayla Richards,Aqaba,968 Wilson Rest,3766,Bronze
11,Michael Bishop,Aqaba,58202 Erickson Burg Suite 285,3639,Silver
12,Kimberly Morales,Zarqa,349 Taylor Mountains,682,Bronze
13,Kathy Howard,Irbid,612 Elizabeth Inlet,1056,Bronze
14,Barbara Mcguire,Madaba,5497 Larry Shoal Apt. 390,4939,Bronze
15,Melissa Ray,Ajloun,34244 Sean Lights Apt. 656,1100,Gold
16,John Haynes,Zarqa,6355 Joseph Hills,4799,Bronze
17,Hannah Smith,Karak,0641 Kirsten Street,4116,Platinum
18,Mary Clark,Jerash,56706 Stacie Hill,2327,Silver
19,Linda Clayton,Aqaba,502 Robinson Ways,594,Silver
20,Matthew Lopez,Ajloun,768 James Turnpike Apt. 467,295,Silver
21,Heather Cisneros,Jerash,192 Briana Club,1214,Bronze
22,Mark Morgan,Aqaba,647 Stephenson Rue Apt. 505,2254,Platinum
23,Colin Oliver,Amman,319 Marquez Forks Suite 344,1924,Silver
24,James Johnson,Amman,57313 Heather Spurs Apt. 664,103,Platinum
25,Donald Neal,Jerash,8714 Jennifer Lock Suite 199,778,Gold
26,Matthew Yu,Mafraq,694 Kim Ridge Suite 405,3845,Gold
27,Michael Stone,Mafraq,1801 Key Locks,4961,Silver
28,Eric Davies,Amman,217 Mark Throughway,3659,Silver
